name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
新竹馬偕紀念醫院,新竹馬偕,15585213,MMSN,MMH,true,false,地區醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,楊斯閔,,90天收款,30,,
財團法人基督長老教會馬偕紀念醫院台東分院,東馬,08109279,MMTE,MMH,true,false,區域醫院,E,花東,,false,吳柏寬/陳開翔,0067,南區業務一課,魏伶華,黃映晨,90天收款,30,,
財團法人基督長老教會馬偕紀念醫院台北院區,台北馬偕,04007602,MMTN,MMH,true,false,醫學中心,N,北,,false,王思閔/李泓寬,0059,北區業務一課,黃映晨,,90天收款,30,,
怡仁綜合醫院,怡仁綜合,19601904,MSCN,MSCH,true,false,地區醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,30天收款,30,,
敏盛綜合醫院,敏盛,31799493,MSGN,MSCH,true,false,地區醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,180天收款,30,,
盛弘醫藥股份有限公司,盛弘,80563852,MSSN,MSCH,true,false,地區醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,150天收款,30,,
國立台灣大學醫學院附設癌醫中心醫院,台大癌醫,73651964,NTCN,NTU,true,false,地區醫院,N,北,,false,楊侑霖/劉翊宏,0105,北區業務一課,魏伶華,,30天收款,30,,
國立臺灣大學醫學院附設醫院竹東分院,台大竹東,26778096,NTEN,NTU,true,false,地區醫院,N,北,,false,張慈芳/簡秋涵,0137,北區業務一課,楊斯閔,,30天收款,30,,
國立臺灣大學醫學院附設醫院新竹臺大分院,台大新竹,85313165,NTHN,NTU,true,false,醫學中心,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,楊斯閔,,30天收款,30,,
國立臺灣大學醫學院附設醫院新竹生醫園區分院,台大新竹生醫,85313165,NTNN,NTU,true,false,地區醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,楊斯閔,,30天收款,30,,
國立臺灣大學醫學院附設醫院,台大,03753600,NTUN,NTU,true,false,醫學中心,N,北,,false,楊侑霖/劉翊宏,0105,北區業務一課,魏伶華,黃映晨,30天收款,30,,
國立臺灣大學醫學院附設醫院雲林分院,台大雲林,64847502,NTYM,NTU,true,false,地區醫院,M,中,,false,黃婷瑜,0023,中區業務一課,楊斯閔,,90天收款,30,,
安泰醫療社團法人安泰醫院,東港安泰,10183231,S-ATS,NONE,true,false,地區醫院,S,南,,false,周悅筠,0076,南區業務一課,關雅婷,,150天收款,30,,
中心診所醫療財團法人中心綜合醫院,中心,04121478,S-CCN,NONE,true,false,診所,N,北,,false,胡慧雯/洪舜婕,0016,北區業務一課,黃映晨,,60天收款,30,,
振興醫療財團法人振興醫院,振興,31006654,S-CHN,NONE,true,false,區域醫院,N,北,,false,胡慧雯,0071,北區業務一課,關雅婷,,90天收款,30,,
中山醫療社團法人中山醫院,台北中山,48848820,S-CJN,NONE,true,false,地區醫院,N,北,,false,劉奕廷,0070,北區業務一課,楊斯閔,,60天收款,,106 業務親送,
宏恩醫療財團法人宏恩綜合醫院,宏恩,04173290,S-COS,NONE,true,false,地區醫院,N,北,,false,,0077,北區業務一課,楊斯閔,,150天收款,,,
中山醫學大學附設醫院,台中中山,52004750,S-CSM,NONE,true,false,醫學中心,M,中,,false,鄒婉萱,0089,中區業務一課,楊斯閔,,120天收款,30,,
建佑醫院,建佑,85931342,S-CYS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,關雅婷,,150天收款,30,,
大千綜合醫院,大千,02899043,S-DCN,NONE,true,false,地區醫院,N,北,,false,張緯棋,0098,北區業務一課,黃映晨,,150天收款,30,,
行天宮醫療志業醫療財團法人恩主公醫院,恩主公,00980975,S-ECN,NONE,true,false,地區醫院,N,北,,false,劉翊宏,0134,北區業務一課,魏伶華,,120天收款,30,,
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,亞東,34400624,S-FEN,NONE,true,false,醫學中心,N,北,,false,劉翊宏,0134,北區業務一課,魏伶華,,60天收款,30,,
枋寮醫療社團法人枋寮醫院,枋寮醫院,10459455,S-FLS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,黃映晨,,180天收款,30,,
輔英科技大學附設醫院,輔英,91602065,S-FYS,NONE,true,false,地區醫院,S,南,,false,周悅筠,0076,南區業務一課,關雅婷,,130天收款,30,,
國仁醫院,屏東國仁,08030956,S-GDS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,黃映晨,,60天收款,30,,
梓榮醫療社團法人弘大醫院,弘大醫院,47452975,S-HDN,NONE,true,false,地區醫院,N,北,,false,張緯棋,0098,北區業務一課,黃映晨,,90天收款,30,,
仁愛醫療財團法人大里仁愛醫院,大里仁愛,77972946,S-JDM,NONE,true,false,區域醫院,M,中,,false,鄒婉萱/劉婷方,0089,中區業務一課,楊斯閔,,60天收款,30,,
中正脊椎骨科醫院,中正脊椎骨科,25956683,S-JJS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,關雅婷,,90天收款,30,,
郭綜合醫院,郭綜合,69227208,S-KGS,NONE,true,false,地區醫院,S,南,,false,柯沐柔,0045,南區業務一課,關雅婷,,120天收款,30,,
康寧醫療財團法人康寧醫院,康寧,92025801,S-KNN,NONE,true,false,地區醫院,N,北,,false,,0050,北區業務一課,楊斯閔,,90天收款,30,,
博田國際醫院,博田,88034336,S-MES,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,關雅婷,,120天收款,,813,
南門醫療社團法人南門醫院,南門,74818132,S-NMS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,黃映晨,,180天收款,30,,
新北市立聯合醫院,縣三重,02077481,S-NTN,NONE,true,false,區域醫院,N,北,,false,張晏晟,0128,北區業務一課,楊斯閔,,60天收款,30,,
醫療財團法人羅許基金會羅東博愛醫院,羅東博愛,42005610,S-PAE,NONE,true,false,區域醫院,I,宜蘭,,false,張晏晟,0128,北區業務一課,關雅婷,,90天收款,30,,
寶建醫療社團法人寶建醫院,寶建,10408870,S-PCS,NONE,true,false,地區醫院,S,南,,false,林湘庭,0149,南區業務一課,關雅婷,,120天收款,30,,
新光醫療財團法人新光吳火獅紀念醫院,新光,01055919,S-SKN,NONE,true,false,醫學中心,N,北,,false,楊侑霖/劉翊宏,0105,北區業務一課,黃映晨,,90天收款,30,,
七賢脊椎外科醫院,七賢脊椎外科,41345443,S-SPS,NONE,true,false,地區醫院,S,南,,false,施吟欣,0019,南區業務一課,關雅婷,,135天收款,30,,
新泰綜合醫院,新泰綜合醫院,91619988,S-STN,OTHER,true,false,,N,北,,false,劉翊宏,0134,北區業務一課,黃映晨,,120天收款,,,
東元綜合醫院,東元,78025920,S-TYN,NONE,true,false,地區醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,黃映晨,,180天收款,30,,
為恭醫療財團法人,為恭,50544746,S-WGN,NONE,true,false,地區醫院,N,北,,false,張緯棋,0098,北區業務一課,黃映晨,,180天收款,30,,
員郭醫療社團法人員郭醫院,員郭,82428241,S-YGM,NONE,true,false,地區醫院,M,中,,false,陳虹均,0017,中區業務一課,楊斯閔,,60天收款,30,,
國立陽明交通大學附設醫院,陽明大學附設,10094548,S-YMN,NONE,true,false,地區醫院,I,宜蘭,,false,張晏晟,0077,北區業務一課,關雅婷,,30天收款,30,,
陽明醫院,陽明醫院,66399395,S-YMS,NONE,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,黃映晨,,60天收款,30,,
盧亞人醫院,盧亞人醫院,17659226,S-YRS,NONE,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,關雅婷,,60天收款,30,,
醫療財團法人辜公亮基金會和信治癌中心醫院,和信,01053601,S-YSN,NONE,true,false,區域醫院,N,北,,false,李泓寬,0059,北區業務一課,魏伶華,,120天收款,30,,
員榮醫療社團法人員榮醫院,員榮醫院,60237057,S-YUM,NONE,true,false,地區醫院,M,中,,false,陳虹均,0017,中區業務一課,,,60天收款,,510,
阮綜合醫療社團法人阮綜合醫院,阮綜合,57983950,S-YUS,NONE,true,false,地區醫院,S,南,,false,陳怡安,0081,南區業務一課,關雅婷,,180天收款,30,,
財團法人彰濱秀傳紀念醫院,彰濱,20399864,SCCM,SHTM,true,false,地區醫院,M,中,,false,陳虹均/劉婷方,0017,中區業務一課,楊斯閔,,150天收款,30,,
高雄市立岡山醫院(委託秀傳醫療社團法人經營),市岡山,17957914,SCKS,SHTM,true,false,地區醫院,S,南,,false,陳怡安,0081,南區業務一課,黃映晨,,90天收款,30,,
